GRTOTLT,GRBKAAT,GRHISPT
87,1,10
440,12,36
239,7,16
101,1,5
240,7,16
2,0,0
238,7,16
100,1,5
4,1,0
96,0,5
72,0,3
24,0,2
1,0,0
1,0,0
1,0,0
1,0,0
2,0,0
3,0,0
135,6,11
3,0,0
135,6,11
550,8,55
475,3,49
550,8,55
550,8,55
475,3,49
475,3,49
448,3,44
23,0,5
4,0,0
75,5,6
75,5,6
663,119,185
2,1,0
661,118,185
383,49,125
278,44,109
105,5,16
146,,
145,,
1,,
13,1,3
265,68,57
193,6,25
55,1,9
5,0,1
145,5,20
145,5,20
37,1,6
4,1,1
33,0,5
21,0,3
12,0,2
5,0,1
48,1,5
48,1,5
18,0,3
4,0,0
13,0,3
1,0,0
7,0,1
126,5,14
4,0,0
99,4,13
3,0,1
27,1,1
388,5,26
101,0,4
147,3,8
388,5,26
388,5,26
101,0,4
93,93,0
19,0,0
78,0,4
4,0,0
147,3,8
5,0,1
135,2,13
5,0,1
135,2,13
148,9,15
148,9,15
45,2,2
24,0,2
21,2,0
19,3,2
37,,
26,,
11,,
1,0,0
83,4,11
842,13,51
641,10,42
56,2,2
842,13,51
842,13,51
641,10,42
641,10,42
390,6,19
224,4,20
27,0,3
56,2,2
25,0,3
120,1,4
25,0,3
120,1,4
144,0,5
144,0,5
129,0,4
129,0,4
129,,
129,,
15,0,1
4386,121,296
2862,71,160
417,18,35
4386,121,296
4386,121,296
18,,
133,,
2862,71,160
2862,71,160
1693,40,86
1009,25,65
160,6,9
417,18,35
136,4,9
971,28,92
136,4,9
971,28,92
95,5,3
26,3,1
63,3,2
63,3,2
17,2,0
17,2,0
8,1,0
9,1,0
32,2,1
32,2,1
9,1,1
9,1,1
1,0,1
68,2,1
1,0,1
45,1,1
23,1,0
20,0,8
20,0,8
7,0,3
7,0,3
1,,
1,,
13,0,5
452,95,76
452,95,76
83,11,10
42,7,6
41,4,4
46,8,7
54,,
38,,
16,,
58,12,11
265,64,48
436,100,124
93,18,29
123,28,35
123,28,35
27,8,10
3,0,2
24,8,8
24,8,8
314,72,89
1,0,0
313,72,89
66,10,19
64,10,18
2,0,1
1,0,0
343,82,95
96,20,25
247,62,70
49,1,3
49,1,3
1,0,0
1,0,0
11,0,2
1,,
1,,
37,1,1
635,107,158
635,107,158
64,10,18
15,3,6
49,7,12
61,8,12
27,,
15,,
12,,
87,10,23
423,79,105
1212,59,322
1212,59,322
714,24,188
714,24,188
572,,
572,,
18,1,7
480,34,127
942,18,63
85,2,16
13,1,4
810,14,48
2,0,1
808,14,47
65,1,10
65,1,10
62,1,10
3,0,0
12,1,3
135,4,16
1,0,0
134,4,16
20,1,6
19,1,5
1,0,1
1,0,1
3,0,1
2,1,0
842,14,43
2,1,0
729,11,34
113,3,9
1131,19,78
865,11,55
1134,19,78
3,0,0
1131,19,78
865,11,55
865,11,55
743,9,47
105,2,6
17,0,2
3,0,0
5,0,0
261,8,23
5,0,0
261,8,23
758,6,43
291,0,15
281,6,18
759,6,43
1,0,0
758,6,43
291,0,15
291,0,15
136,0,7
107,0,4
48,0,4
281,6,18
1,0,0
19,0,1
167,0,9
